"","observation_date","POILBREUSDQ","us_CPI","inflation_uk","gva_scot_service","gva_scot_production","gva_prod_mining","gva_prod_manufacture","gdp_UK_prod","gdp_uk","gdp_deflator","gvacp_allMill","gva_CP_oilandgasMill","uk_production","imports","exports","net_exports","demand_uk","supply_uk","aberdeen_unemp","scotland_unemp","UK_unemp"
"1",2004-01-01,31.936255599473,83.589,77.2,89.1682530869735,88,69.5575842488965,87.2990422663751,106.2,91.7,78.8889780222603,384454,3763,23314.6,14963.47,17758.24,2794.77,21414.23,21273.83,5.19999980926514,5.30000019073486,4.8
"2",2004-04-01,35.4321356421356,84.162,77.8,89.2132632503634,88.7,70.634425289296,88.4757160926741,106.5,91.9,80.093313326291,385848,4141,22319.4,15665.53,16618.97,953.440000000001,22216.58,22185.54,5.09999990463257,5.19999980926514,4.7
"3",2004-07-01,41.5948484848485,84.586,77.8,88.6409988143462,90.8,76.4965820419667,89.240591111233,104.8,91.9,80.3769959343083,386764,4466,20375.6,16439.68,15075.18,-1364.5,23005.72,22938.29,5,5.30000019073486,4.8
"4",2004-10-01,44.1605210489993,85.309,78.3,89.7080721375514,92.6,74.6480251854679,93.278403777452,105.9,92,81.1323863638162,388343,4802,21506.6,15447.55,15051.62,-395.929999999998,23184.06,23311.98,5.09999990463257,5.5,4.8
"5",2005-01-01,47.6379648033126,85.795,78.5,89.689302427446,93.3,74.1185301297281,94.1496886655394,105.1,92.6,81.2573023122942,392153,4821,20545.93,13693.84,14553.09,859.25,20978.29,20888.28,4.59999990463257,5.30000019073486,4.9
"6",2005-04-01,51.6104112554113,86.31,79.3,90.1394871616663,92.7,75.3750128075551,92.5343460711609,106,93.6,82.4661273115748,397117,4887,20071.16,15796.26,15342.83,-453.43,20998.2,21201.12,4.90000009536743,5.40000009536743,5.1
"7",2005-07-01,61.5620343183387,87.232,79.7,90.7362738142234,93.2,75.234299044685,93.5841267416121,104.9,94.5,82.2491405219996,401816,5307,17662.68,15551.58,11405.72,-4145.86,22610.92,22623.36,4.90000009536743,5.5,5.3
"8",2005-10-01,56.9235209235209,87.913,80.1,92.2118646075347,95.1,78.6760015952214,94.8460094716451,105.3,95.7,83.1531544496476,407996,5457,18898.74,13843.46,12797.08,-1046.38,21546.85,21356.1,4.09999990463257,5.19999980926514,5.4
"9",2006-01-01,61.8462588932806,88.359,80.2,92.4096999314751,97.6,82.2979234430502,97.6539385133436,106.5,95.9,83.50957545015,409247,6045,19027.86,14157.74,13835.97,-321.77,20112.67,20029.44,4.09999990463257,5.19999980926514,5.4
"10",2006-04-01,69.8523945981555,89.069,81.2,92.7780699798211,97.8,86.7930924769374,96.8850769924739,106.3,96,84.3879168426042,409929,5562,17389.96,15490.02,13094.5,-2395.52,20982.26,20906.96,4.19999980926514,5.19999980926514,5.3
"11",2006-07-01,70.094375431332,89.711,81.7,92.7495678160527,96.8,93.6723292810004,94.4901367053001,106.5,95.9,85.0363258707558,410205,5273,15762.81,15413.99,11350.59,-4063.4,21614.39,21655.53,3.70000004768372,4.90000009536743,5.3
"12",2006-10-01,59.7121284271284,89.559,82.3,93.9678806281165,96.4,95.083919133459,94.0274338385375,106.6,96.2,85.4557434793508,411298,4688,17484.01,14381.4,11913.57,-2467.83,20503.8,20538.24,3.79999995231628,5,5.2
"13",2007-01-01,58.1520164690382,90.406,82.4,93.6914182688386,96.6,94.4955367902321,94.9653473833516,107.1,96.9,85.9059382158074,415177,4600,18177.59,12861.29,12254.08,-607.210000000001,19272.05,19079.13,3.79999995231628,4.69999980926514,5.2
"14",2007-04-01,68.7661421670118,91.139,83.3,93.422570884526,94.2,92.7925183976747,91.1823875004593,107.3,97.3,86.4964089933744,417634,4806,18143.96,13635.38,12580.49,-1054.89,21106.33,21147.94,3.59999990463257,4.59999990463257,5.2
"15",2007-07-01,75.0434855072464,91.653,83.3,94.1330364555856,92.7,88.5717292010073,91.1956503884549,106.9,97.9,87.2022303372866,421249,5076,16217.29,16288.33,12698.73,-3589.6,21041.95,21222.27,3.59999990463257,4.40000009536743,5.2
"16",2007-10-01,88.9629895225547,92.553,84.1,94.8931710174897,94,90.3025186562985,92.3473332230306,107.3,98.2,87.9093963978254,424391,6239,17818.19,14571.74,13466.06,-1105.68,20056.89,20059.85,3.40000009536743,4.5,5.3
"17",2008-01-01,96.6493167701863,93.329,84.5,95.5733696114489,95.5,91.514189827782,94.4168051114308,107.1,98.5,88.7837930756799,426627,6604,16978.67,14074.2,12258.07,-1816.13,19511.47,19189.82,3.59999990463257,4.90000009536743,5.7
"18",2008-04-01,122.243917748918,94.289,86.1,95.57114023753,96.8,91.2739174821819,96.5476994178767,106,97.7,88.8883526097409,424178,7567,16970.26,15615.04,12343.31,-3271.73,20732.31,20956.1,3.59999990463257,5.30000019073486,6.2
"19",2008-07-01,115.604717359935,95.266,87.1,94.3760394764804,95.9,90.7304100671461,95.2728883281932,104.8,96,89.9083214479652,416904,6846,15049.23,16002.17,11181.22,-4820.95,20899.38,21160,3.79999995231628,5.90000009536743,6.8
"20",2008-10-01,55.7790507246377,93.836,87.2,94.1622445963377,91.9,88.6644476854375,90.5208688040668,100.2,93.9,90.7089633778068,408291,4118,16498.6,14643.46,12452.76,-2190.7,19890.43,19887.95,4,6.59999990463257,7.3
"21",2009-01-01,44.9335606060606,93.274,87,94.6627345848387,89.8,95.2763487649935,84.6962283566151,96.1,92.1,90.3800864036444,401693,3436,16757.58,13303.79,11173.68,-2130.11,19721.43,19608.58,4,6.90000009536743,7.7
"22",2009-04-01,59.1804761904762,93.693,87.8,94.5516786717283,87.7,96.6685390240305,82.4784018487659,96.6,91.7,90.8295033964358,401078,4011,16502.33,13486.32,12611.71,-874.610000000001,18326.09,18510.91,4.30000019073486,7.30000019073486,7.9
"23",2009-07-01,68.3673448773449,94.34,88.2,94.3071807292079,90.6,96.1040408148616,85.9134261779673,96.3,91.6,91.6952589963302,402066,4299,13869.81,14630.91,9824.91,-4806,19232.37,19137.12,4.69999980926514,7.5,7.7
"24",2009-10-01,74.9769191919192,95.07,88.6,94.0326199310859,89.8,88.7721080707399,86.9932447957636,97.1,91.7,91.1246438178595,403353,4961,15690.34,13581.25,11740.44,-1840.81,18270.67,18428.82,4.90000009536743,7.5,7.7
"25",2010-01-01,76.6663878536922,95.395,89.1,94.1362950039868,91,91.6026046797579,88.2410222644104,98.8,92.1,91.9884206228517,406059,5427,15815.98,12555.09,11448.98,-1106.11,17570.58,17639.15,5.09999990463257,7.69999980926514,7.6
"26",2010-04-01,78.6725901875902,95.503,90,94.5353296917091,92.7,92.0566999562043,89.9882656579205,99.7,92.8,92.5979248145138,410920,5605,14677.13,14734.4,11133.12,-3601.28,18356.95,18319,5.30000019073486,7.69999980926514,7.6
"27",2010-07-01,76.4051515151515,95.671,90.3,94.6804400147646,94,94.5318293277307,91.7816739959393,99.8,93.2,92.3536892300774,414431,5310,13106.1,13659.78,8708.25,-4951.53,18890.95,18789.3,5.30000019073486,7.80000019073486,7.8
"28",2010-10-01,86.7948723257419,96.25,91.1,94.3423186064854,91.8,93.8858908324956,89.0735082967537,101,93.1,92.9311911460911,414456,5729,14447.39,14114.73,10773.8,-3340.93,18724.36,18805.34,5.59999990463257,8,7.9
"29",2011-01-01,104.897022084196,97.091,92.2,94.437153880457,93.3,93.0140876224805,91.8889239507339,100.7,93.5,94.4510277903342,416073,6208,13503.76,14088.54,9239.46,-4849.08,18206.03,18112.53,5.80000019073486,8.19999980926514,8
"30",2011-04-01,117.122128427128,98.048,93.4,93.8601929404931,95.1,98.5769862976221,92.5511036780902,99.8,93.4,93.8045290489247,416826,6274,12527.59,13887.91,8279.08,-5608.83,19301.58,19230.05,5.80000019073486,8.10000038146973,8.1
"31",2011-07-01,112.996358303532,98.523,93.9,94.5360418205528,93.6,100.774375765455,90.1471590495109,99.5,93.5,94.1950666938429,418561,5691,10444.87,15296.26,7039.58,-8256.68,19396.92,19171.54,5.40000009536743,8.10000038146973,8.1
"32",2011-10-01,109.314379509379,98.86,94.7,95.0056269625365,95.1,104.112797573173,91.805757551439,99,93.5,95.0723322813603,419592,6139,12094.85,14819.59,9066.56,-5753.03,18175.74,18301.28,4.30000019073486,8,8
"33",2012-01-01,118.541551226551,99.538,95.1,94.4776297658581,95.9,104.598889919038,92.6207329504405,98.5,94,94.907114775131,421783,6138,11763.83,15574.9,7926.96,-7647.94,19452.3,19417.18,5,8,7.9
"34",2012-04-01,108.900579710145,99.776,95.8,95.3973477085903,95.2,105.29582981787,93.1609262602456,97.6,93.8,95.5542589488714,421117,5342,11111,16203.91,7976.63,-8227.28,19138.75,19235.47,4.69999980926514,7.90000009536743,7.8
"35",2012-07-01,109.95446969697,100.062,96.1,95.2827866399736,95.9,109.902702696624,92.8012091106434,97.7,94.7,96.3925100025867,426172,5153,9361.18,15078.08,7135.95,-7942.13,18193.48,18088.61,4.69999980926514,7.80000019073486,7.8
"36",2012-10-01,110.441765480896,100.624,97,96.0282125087377,97,109.120893441998,94.0971658931243,95.9,94.5,96.909433572874,425832,5017,9816.39,13618.82,7906.69,-5712.13,15054.59,15000.16,4.30000019073486,7.80000019073486,7.8
