# Sample generated by Stan (Variational Bayes)
# stan_version_major=2
# stan_version_minor=18
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1729890892
# chain_id=1
# iter=10000
# grad_samples=1
# elbo_samples=100
# output_samples=1000
# eval_elbo=100
# eta=1
# tol_rel_obj=0.01
# algorithm=meanfield
# sample_file=s_98913.csv
# diagnostic_file=d_98913.csv
# append_samples=0
#
# iter,time_in_seconds,ELBO
100,0.234944,-3.58523e+18
200,0.472653,-2.91757e+23
300,0.713967,-1.09533e+12
400,0.966117,-1.34823e+13
500,1.20212,-8.55632e+14
600,1.43931,-1.43693e+25
700,1.67632,-9.73158e+15
800,1.91497,-1.49455e+12
900,2.15131,-1.83403e+08
1000,2.38502,-4.38508e+09
1100,2.61694,-7.53496e+08
1200,2.85045,-1.80934e+07
1300,3.08228,-473527
1400,3.31397,-7874.31
1500,3.54692,-27904.5
1600,3.77972,4634.99
1700,4.01444,-31641.1
1800,4.24956,5320.96
1900,4.48701,5423.82
2000,4.7202,5434.34
2100,4.95463,5439.54
2200,5.18767,5434.57
2300,5.42289,5432.61
2400,5.66362,5431.81
2500,5.90143,5435.17
