,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-09-17,0.002988,0.003128,0.002928,0.003072,0.003072,118073.0
1,2014-09-18,0.003081,0.003768,0.003055,0.003456,0.003456,205474.0
2,2014-09-19,0.00346,0.004026,0.00316,0.003872,0.003872,204649.0
3,2014-09-20,0.003936,0.004304,0.003309,0.003612,0.003612,186971.0
4,2014-09-21,0.00361,0.003862,0.003296,0.003464,0.003464,145626.0
5,2014-09-22,0.003466,0.004081,0.003447,0.004023,0.004023,178810.0
6,2014-09-23,0.004007,0.004102,0.003754,0.003965,0.003965,120447.0
7,2014-09-24,0.003966,0.004068,0.003425,0.00389,0.00389,163121.0
8,2014-09-25,0.003878,0.003901,0.003422,0.003494,0.003494,81902.0
9,2014-09-26,0.0036,0.0036,0.002902,0.00305,0.00305,117908.0
10,2014-09-27,0.003044,0.003342,0.002905,0.003263,0.003263,44492.0
11,2014-09-28,0.003262,0.00346,0.003105,0.003174,0.003174,77804.0
12,2014-09-29,0.00317,0.003427,0.003074,0.003212,0.003212,32858.0
13,2014-09-30,0.003227,0.003268,0.003131,0.003211,0.003211,21131.0
14,2014-10-01,0.003221,0.003283,0.002798,0.00288,0.00288,70180.0
15,2014-10-02,0.002888,0.003048,0.002738,0.002773,0.002773,30542.0
16,2014-10-03,0.002743,0.002795,0.002596,0.002601,0.002601,34169.0
17,2014-10-04,0.002604,0.00267,0.002371,0.002371,0.002371,45969.0
18,2014-10-05,0.002441,0.002512,0.002129,0.002387,0.002387,29396.0
19,2014-10-06,0.002384,0.002729,0.002288,0.002574,0.002574,34446.0
20,2014-10-07,0.002578,0.002635,0.002349,0.002447,0.002447,35420.0
21,2014-10-08,0.00242,0.002486,0.002296,0.002477,0.002477,28232.0
22,2014-10-09,0.002475,0.002495,0.002273,0.002358,0.002358,11066.0
23,2014-10-10,0.002356,0.002418,0.002198,0.002309,0.002309,14307.0
24,2014-10-11,0.002308,0.002446,0.002283,0.002336,0.002336,34909.0
25,2014-10-12,0.002338,0.002457,0.001972,0.002243,0.002243,76978.0
26,2014-10-13,0.00224,0.002372,0.002134,0.002299,0.002299,44927.0
27,2014-10-14,0.002309,0.002411,0.002264,0.002352,0.002352,32533.0
28,2014-10-15,0.002352,0.002363,0.002123,0.002174,0.002174,46516.0
29,2014-10-16,0.002173,0.002221,0.00195,0.00208,0.00208,39044.0
30,2014-10-17,0.002081,0.002127,0.001986,0.002021,0.002021,22242.0
31,2014-10-18,0.002022,0.002157,0.002001,0.002059,0.002059,27435.0
32,2014-10-19,0.002058,0.002195,0.002023,0.002023,0.002023,18945.0
33,2014-10-20,0.002021,0.002138,0.00197,0.002023,0.002023,38282.0
34,2014-10-21,0.002022,0.002114,0.002013,0.00207,0.00207,26101.0
35,2014-10-22,0.002062,0.002077,0.001982,0.002034,0.002034,19376.0
36,2014-10-23,0.002021,0.002033,0.001895,0.001914,0.001914,15614.0
37,2014-10-24,0.001915,0.002029,0.001895,0.001958,0.001958,29512.0
38,2014-10-25,0.001959,0.001988,0.001864,0.001892,0.001892,13101.0
39,2014-10-26,0.001893,0.001952,0.001864,0.001941,0.001941,9559.0
40,2014-10-27,0.001941,0.001998,0.001887,0.001956,0.001956,14396.0
41,2014-10-28,0.001957,0.001995,0.00155,0.001655,0.001655,73811.0
42,2014-10-29,0.001675,0.001947,0.001619,0.001696,0.001696,24172.0
43,2014-10-30,0.001696,0.001752,0.001656,0.001735,0.001735,13179.0
44,2014-10-31,0.001748,0.001754,0.001647,0.001681,0.001681,10733.0
45,2014-11-01,0.001686,0.001693,0.001525,0.001548,0.001548,494272.0
46,2014-11-02,0.001549,0.001599,0.00152,0.001584,0.001584,9242.0
47,2014-11-03,0.001582,0.001761,0.001581,0.001693,0.001693,15149.0
48,2014-11-04,0.001691,0.001704,0.001653,0.001703,0.001703,9766.0
